_id,poll_id,pollster,numeric_grade,pollscore,start_date,end_date,sample_size,politician,yes,no,alternate_answers,methodology,transparency_score
6756687d8259a38e9455aa05,89424,InsiderAdvantage,2,-0.3,12/3/24,12/4/24,1000,Joe Biden,38,55,7,,
6756687d8259a38e9455aa06,89425,Quantus Insights,,,12/2/24,12/4/24,800,Joe Biden,38,62,0,Online Opt-In Panel,
6756687d8259a38e9455aa07,89421,Morning Consult,1.9,-0.3,11/26/24,12/2/24,45000,Joe Biden,37.11,54.89,7.99,Online Opt-In Panel,
6756687d8259a38e9455aa08,89420,Morning Consult,1.9,-0.3,11/27/24,11/30/24,2271,Joe Biden,43,52,4,Online Opt-In Panel,
6756687d8259a38e9455aa09,89419,TIPP,1.8,-0.4,11/25/24,11/27/24,1550,Joe Biden,35,55,11,Online Opt-In Panel,
6756687d8259a38e9455aa0a,89417,YouGov,3,-1.1,11/23/24,11/26/24,1590,Joe Biden,38,55,7,Online Matched Sample,9
6756687d8259a38e9455aa0b,89417,YouGov,3,-1.1,11/23/24,11/26/24,1412,Joe Biden,42,56,3,Online Matched Sample,9
6756687d8259a38e9455aa0c,89415,Emerson,2.9,-1.1,11/20/24,11/22/24,1000,Joe Biden,36,51.9,12.1,Online Opt-In Panel/Text-to-Web/Email,7
6756687d8259a38e9455aa0d,89413,YouGov,3,-1.1,11/19/24,11/22/24,2232,Joe Biden,39,61,0,Online Matched Sample,9
6756687d8259a38e9455aa0e,89408,ARG,2.3,-0.2,11/17/24,11/20/24,1100,Joe Biden,41,53,6,Live Phone,5
6756687d8259a38e9455aa0f,89408,ARG,2.3,-0.2,11/17/24,11/20/24,1000,Joe Biden,40,54,0,Live Phone,5
6756687d8259a38e9455aa10,89414,Gallup,2.5,-0.4,11/6/24,11/20/24,1001,Joe Biden,37,58,5,Live Phone,10
6756687d8259a38e9455aa11,89404,YouGov,3,-1.1,11/17/24,11/19/24,1595,Joe Biden,37,57,6,Online Matched Sample,9
6756687d8259a38e9455aa12,89404,YouGov,3,-1.1,11/17/24,11/19/24,1435,Joe Biden,43,55,1,Online Matched Sample,9
6756687d8259a38e9455aa13,89403,Echelon Insights,2.7,-0.8,11/14/24,11/18/24,1010,Joe Biden,38,60,2,Online Opt-In Panel,9
6756687d8259a38e9455aa14,89411,YouGov,3,-1.1,11/14/24,11/18/24,1612,Joe Biden,36,58,6,Online Matched Sample,9
6756687d8259a38e9455aa15,89411,YouGov,3,-1.1,11/14/24,11/18/24,1081,Joe Biden,42,56,2,Online Matched Sample,9
6756687d8259a38e9455aa16,89409,Ipsos,2.8,-0.9,11/15/24,11/17/24,1031,Joe Biden,37,58,0,Probability Panel,9.5
6756687d8259a38e9455aa17,89402,HarrisX/Harris Poll,1.5,-0.1,11/13/24,11/14/24,1732,Joe Biden,42,53,5,Online Opt-In Panel,7
6756687d8259a38e9455aa18,89396,YouGov,3,-1.1,11/9/24,11/12/24,1743,Joe Biden,38,56,6,Online Matched Sample,9
6756687d8259a38e9455aa19,89396,YouGov,3,-1.1,11/9/24,11/12/24,1557,Joe Biden,41,56,3,Online Matched Sample,9
