end_date,Headline,yes,pos,neg,neu,compound
2021-01-21,Biden Rolls Back the Trump Legacy,51.91166666666667,0.0,0.0,1.0,0.0
2021-01-21,Charlottesville Inspired Biden to Run. Now It Has a Message for Him.,51.91166666666667,0.242,0.0,0.758,0.4939
2021-01-21,"Jen Psaki’s Debut: No Attacks, No Lectures, No Crowd Size Fixation",51.91166666666667,0.0,0.576,0.424,-0.8176
2021-01-21,The Three Types of Republicans Donald Trump Created,51.91166666666667,0.222,0.0,0.778,0.25
2021-01-22,Biden’s Virus Plans Meet Reality,56.0,0.0,0.0,1.0,0.0
2021-01-22,"Lloyd Austin is confirmed, becoming the first Black defense secretary in U.S. history.",56.0,0.111,0.0,0.889,0.128
2021-01-22,What Jerry Brown Could Teach Joe Biden,56.0,0.0,0.0,1.0,0.0
2021-01-23,10 Republicans Voted to Impeach Trump. The Backlash Has Been Swift.,55.0,0.153,0.0,0.847,0.2023
2021-01-23,Arizona G.O.P. Censures Three Top Members Criticized by Trump Loyalists,55.0,0.291,0.187,0.522,0.1027
2021-01-23,How Alvin the Beagle Helped Usher In a Democratic Senate,55.0,0.0,0.0,1.0,0.0
2021-01-23,"How Doug Ducey, Arizona’s Republican Governor, Views His Party After Trump",55.0,0.213,0.0,0.787,0.4019
2021-01-23,Is President Biden Ready for the New Senate?,55.0,0.263,0.0,0.737,0.3612
2021-01-23,The Trump Presidency Is Now History. So How Will It Rank?,55.0,0.0,0.0,1.0,0.0
2021-01-24,How Democrats Planned for Doomsday,53.0,0.0,0.487,0.513,-0.5859
2021-01-25,"As Trump Seeks to Remain a Political Force, New Targets Emerge",54.6,0.0,0.0,1.0,0.0
2021-01-25,Republicans’ Trump Dilemma,54.6,0.0,0.459,0.541,-0.1779
2021-01-25,Rudy Giuliani Sued by Dominion Voting Systems Over False Election Claims,54.6,0.0,0.0,1.0,0.0
2021-01-25,Sarah Huckabee Sanders Is Running for Office. Will Other Trump Allies Follow?,54.6,0.0,0.0,1.0,0.0
2021-01-25,Sarah Huckabee Sanders to Run for Arkansas Governor,54.6,0.0,0.0,1.0,0.0
2021-01-26,"How Nan Whaley, Dayton’s Mayor, Sees Ohio Politics and Portman’s Senate Seat",52.833333333333336,0.0,0.0,1.0,0.0
2021-01-26,The Covid Fight Gets More Challenging,52.833333333333336,0.223,0.306,0.471,-0.1796
2021-01-27,Biden Won’t Budge on the Senate Filibuster. Why Aren’t Progressives Pushing Him?,50.5,0.0,0.0,1.0,0.0
2021-01-27,Could Trump Be Convicted? ‘Just Do the Math’,50.5,0.0,0.0,1.0,0.0
2021-01-27,"For Trump’s Aggrieved Defenders, This Impeachment Confirms Everything",50.5,0.157,0.0,0.843,0.0772
2021-01-28,Biden Walks the Climate-Economy Tightrope,54.0,0.0,0.0,1.0,0.0
2021-01-28,Why Pennsylvania Republican Leaders Are All-In for Trump More Than Ever,54.0,0.0,0.0,1.0,0.0
2021-01-29,Biden Moves Cautiously on Health Care,56.42,0.39,0.0,0.61,0.4939
2021-01-30,"For McCarthy and McConnell, Two Paths on Trumpian Crisis Management",56.0,0.0,0.313,0.687,-0.6249
